datetime,temp, undefined
2018011009,2.1,  96.0
2018011010,2.6,  96.0
2018011011,2.3,  98.0
2018011012,2.3,  99.0
2018011013,2.2, 100.0
2018011014,2.3, 100.0
2018011015,2.1, 100.0
2018011016,1.7, 100.0
2018011017,0.9, 100.0
2018011018,0.7, 100.0
2018011019,0.5, 100.0
2018011020,0.2, 100.0
2018011021,0.5, 100.0
2018011022,0.3, 100.0
2018011023,0.3, 100.0
2018011100,0.1, 100.0
2018011101,-0.1, 100.0
2018011102,0.0, 100.0
2018011103,0.2, 100.0
2018011104,0.2, 100.0
2018011105,0.5, 100.0
2018011106,0.5, 100.0
2018011107,0.8,  99.0
2018011108,1.5, 100.0
2018011109,2.3, 100.0
2018011110,2.9,  99.0
2018011111,3.6, 100.0
2018011112,3.9, 100.0
2018011113,3.8,  99.0
2018011114,3.6,  97.0
2018011115,3.3,  99.0
2018011116,2.7,  98.0
2018011117,2.5,  99.0
2018011118,2.2,  96.0
2018011119,1.9,  94.0
2018011120,1.9,  95.0
2018011121,1.9,  96.0
2018011122,1.8,  97.0
2018011123,1.8,  96.0
2018011200,1.8,  96.0
2018011201,1.8,  96.0
2018011202,1.7,  96.0
2018011203,1.6,  95.0
2018011204,1.6,  97.0
2018011205,1.6,  96.0
2018011206,1.6,  97.0
2018011207,1.6,  94.0
2018011208,1.4,  97.0
2018011209,1.3,  96.0
2018011210,1.4,  93.0
2018011211,1.3,  91.0
2018011212,2.1,  84.0
2018011213,2.3,  82.0
2018011214,2.1,  85.0
2018011215,2.1,  86.0
2018011216,2.0,  87.0
2018011217,2.0,  88.0
2018011218,1.9,  86.0
2018011219,1.7,  88.0
2018011220,1.4,  90.0
2018011221,1.4,  90.0
2018011222,1.4,  90.0
2018011223,1.1,  92.0
2018011300,1.1,  90.0
2018011301,1.0,  89.0
2018011302,0.9,  91.0
2018011303,0.7,  90.0
2018011304,0.5,  90.0
2018011305,0.5,  87.0
2018011306,0.4,  85.0
2018011307,0.4,  86.0
2018011308,0.3,  86.0
2018011309,0.4,  87.0
2018011310,0.7,  84.0
2018011311,0.8,  81.0
2018011312,0.8,  78.0
2018011313,0.2,  75.0
2018011314,0.1,  71.0
2018011315,-0.3,  68.0
2018011316,-0.6,  71.0
2018011317,-0.8,  70.0
2018011318,-0.5,  68.0
2018011319,-0.1,  68.0
2018011320,0.2,  65.0
2018011321,0.2,  65.0
2018011322,0.2,  66.0
2018011323,0.2,  67.0
2018011400,0.2,  69.0
2018011401,0.2,  69.0
2018011402,0.1,  68.0
2018011403,0.2,  67.0
2018011404,0.2,  67.0
2018011405,0.2,  68.0
2018011406,0.0,  70.0
2018011407,-0.7,  75.0
2018011408,-1.1,  76.0
2018011409,-1.0,  75.0
2018011410,-0.4,  72.0
2018011411,-0.4,  71.0
2018011412,-0.4,  70.0
2018011413,-0.6,  72.0
2018011414,-1.0,  74.0
2018011415,-1.5,  74.0
2018011416,-1.8,  75.0
2018011417,-2.1,  75.0
2018011418,-2.1,  76.0
2018011419,-2.4,  78.0
2018011420,-2.5,  78.0
2018011421,-2.6,  80.0
2018011422,-2.5,  81.0
2018011423,-2.5,  82.0
2018011500,-2.6,  83.0
2018011501,-2.5,  82.0
2018011502,-2.3,  82.0
2018011503,-2.2,  81.0
2018011504,-1.9,  81.0
2018011505,-1.2,  79.0
2018011506,-1.0,  79.0
2018011507,-0.9,  79.0
2018011508,-0.9,  79.0
2018011509,-0.6,  79.0
2018011510,0.5,  74.0
2018011511,0.8,  73.0
2018011512,1.8,  70.0
2018011513,2.1,  70.0
2018011514,2.3,  71.0
2018011515,2.4,  72.0
2018011516,2.6,  73.0
2018011517,2.7,  73.0
2018011518,3.0,  71.0
2018011519,3.3,  71.0
2018011520,3.4,  71.0
2018011521,3.7,  70.0
2018011522,3.3,  77.0
2018011523,2.8,  83.0
2018011600,2.4,  88.0
2018011601,2.2,  90.0
2018011602,1.9,  93.0
2018011603,1.9,  94.0
2018011604,2.1,  94.0
2018011605,2.6,  95.0
2018011606,2.7,  97.0
2018011607,3.5,  94.0
2018011608,3.7,  94.0
2018011609,3.9,  92.0
2018011610,4.1,  91.0
2018011611,4.4,  89.0
2018011612,4.5,  86.0
2018011613,4.3,  82.0
2018011614,4.1,  85.0
2018011615,4.1,  85.0
2018011616,3.6,  85.0
2018011617,3.0,  88.0
2018011618,2.4,  90.0
2018011619,2.5,  88.0
2018011620,1.9,  91.0
2018011621,2.1,  89.0
2018011622,1.7,  89.0
2018011623,2.3,  87.0
2018011700,2.2,  86.0
2018011701,1.9,  86.0
2018011702,2.0,  86.0
2018011703,2.1,  86.0
2018011704,2.0,  88.0
